imageid,Category,,,,,
100001,Full,,Fully Tagged,Partial Tagged,No Objects ,Untagged
100002,Full,,51,2161,7121,36
100003,Full,,,,,
100004,Full,,,,,
100005,Full,,,,,
100006,Full,,,,,
100007,Full,,,,,
100008,Full,,,,,
100009,Full,,,,,
100010,Full,,,,,
100011,Full,,,,,
100012,Full,,,,,
100013,Full,,,,,
100014,Full,,,,,
100015,Full,,,,,
100016,Full,,,,,
100017,Full,,,,,
100018,Full,,,,,
100019,Full,,,,,
100020,Full,,,,,
100021,Full,,,,,
100022,Full,,,,,
100023,Full,,,,,
100024,Full,,,,,
100025,Full,,,,,
100026,Full,,,,,
100027,Full,,,,,
100028,Full,,,,,
100029,Full,,,,,
100030,Full,,,,,
100031,Full,,,,,
100032,Full,,,,,
100033,Full,,,,,
100034,Full,,,,,
100035,Full,,,,,
100036,Full,,,,,
100037,Full,,,,,
100038,Untagged,,,,,
100039,Full,,,,,
100040,Full,,,,,
100041,Full,,,,,
100042,Full,,,,,
100043,Full,,,,,
100044,Full,,,,,
100045,Full,,,,,
100046,Full,,,,,
100047,Full,,,,,
100048,Untagged,,,,,
100049,Full,,,,,
100050,Full,,,,,
100051,Full,,,,,
100052,Full,,,,,
100053,Full,,,,,
100054,Untagged,,,,,
100055,Untagged,,,,,
100056,Untagged,,,,,
100057,Untagged,,,,,
100058,Untagged,,,,,
100059,Untagged,,,,,
100060,Untagged,,,,,
100061,Untagged,,,,,
100062,Untagged,,,,,
100063,Untagged,,,,,
100064,Untagged,,,,,
100065,Untagged,,,,,
100066,Untagged,,,,,
100067,Untagged,,,,,
100068,Untagged,,,,,
100069,No objects,,,,,
100070,Partial,,,,,
100071,Partial,,,,,
100072,Partial,,,,,
100073,Partial,,,,,
100074,Partial,,,,,
100075,No objects,,,,,
100076,Partial,,,,,
100077,Partial,,,,,
100078,Partial,,,,,
100079,Partial,,,,,
100080,Partial,,,,,
100081,Partial,,,,,
100082,Partial,,,,,
100083,Partial,,,,,
100084,No objects,,,,,
100085,Partial,,,,,
100086,Partial,,,,,
100087,Partial,,,,,
100088,Partial,,,,,
100089,Partial,,,,,
100090,Partial,,,,,
100091,Partial,,,,,
100092,Partial,,,,,
100093,Partial,,,,,
100094,Partial,,,,,
100095,Partial,,,,,
100096,Partial,,,,,
100097,No objects,,,,,
100098,Partial,,,,,
100099,Partial,,,,,
100100,Partial,,,,,
100101,No objects,,,,,
100102,Partial,,,,,
100103,Partial,,,,,
100104,Partial,,,,,
100105,Partial,,,,,
100106,Partial,,,,,
100107,No objects,,,,,
100108,Partial,,,,,
100109,No objects,,,,,
100110,No objects,,,,,
100111,No objects,,,,,
100112,No objects,,,,,
100113,Partial,,,,,
100114,Partial,,,,,
100115,Partial,,,,,
100116,No objects,,,,,
100117,No objects,,,,,
100118,No objects,,,,,
100119,No objects,,,,,
100120,No objects,,,,,
100121,No objects,,,,,
100122,No objects,,,,,
100123,No objects,,,,,
100124,No objects,,,,,
100125,Partial,,,,,
100126,No objects,,,,,
100127,Partial,,,,,
100128,No objects,,,,,
100129,Partial,,,,,
100130,Partial,,,,,
100131,No objects,,,,,
100132,Partial,,,,,
100133,Partial,,,,,
100134,Partial,,,,,
